dato;trekning;sektor;sporsmal;motor;modell;alias_capte;entitet;kategori;kilde;note
2026-09-21;T2;it_saas;Q1;Claude;Sonnet 5 Medium;Sopra Steria;Sopra Steria;konsulent;sok;
2026-09-21;T2;it_saas;Q1;Claude;Sonnet 5 Medium;Bouvet;Bouvet;konsulent;sok;
2026-09-21;T2;it_saas;Q1;Claude;Sonnet 5 Medium;5e1be44c61aa;5e1be44c61aa;hors_panel;sok;
2026-09-21;T2;it_saas;Q1;Claude;Sonnet 5 Medium;8d2d5c8c55d6;8d2d5c8c55d6;hors_panel;sok;
2026-09-21;T2;it_saas;Q1;Claude;Sonnet 5 Medium;Webstep;Webstep;konsulent;sok;
2026-09-21;T2;it_saas;Q1;Claude;Sonnet 5 Medium;Computas;Computas;konsulent;sok;
2026-09-21;T2;it_saas;Q1;Claude;Sonnet 5 Medium;Netlight;Netlight;konsulent;sok;
2026-09-21;T2;it_saas;Q1;Claude;Sonnet 5 Medium;ITverket;ITverket;konsulent;sok;
2026-09-21;T2;it_saas;Q1;Claude;Sonnet 5 Medium;f2c31e5369ba;f2c31e5369ba;hors_panel;sok;
2026-09-21;T2;it_saas;Q1;Claude;Sonnet 5 Medium;Sysint;Sysint;konsulent;sok;
2026-09-21;T2;it_saas;Q1;Claude;Sonnet 5 Medium;Aztek Consulting;Aztek Consulting;konsulent;sok;
2026-09-21;T2;it_saas;Q1;Claude;Sonnet 5 Medium;Frend;Frend;konsulent;sok;
2026-09-21;T2;it_saas;Q1;Perplexity;Søk + avansert søk (gratis forhåndsvisning);Bouvet;Bouvet;konsulent;sok;
2026-09-21;T2;it_saas;Q1;Perplexity;Søk + avansert søk (gratis forhåndsvisning);Sopra Steria;Sopra Steria;konsulent;sok;
2026-09-21;T2;it_saas;Q1;Perplexity;Søk + avansert søk (gratis forhåndsvisning);Bekk;Bekk;konsulent;sok;
2026-09-21;T2;it_saas;Q1;Perplexity;Søk + avansert søk (gratis forhåndsvisning);Computas;Computas;konsulent;sok;
2026-09-21;T2;it_saas;Q1;Perplexity;Søk + avansert søk (gratis forhåndsvisning);Webstep;Webstep;konsulent;sok;
2026-09-21;T2;it_saas;Q1;Perplexity;Søk + avansert søk (gratis forhåndsvisning);Accenture;Accenture;konsulent;sok;
2026-09-21;T2;it_saas;Q1;Perplexity;Søk + avansert søk (gratis forhåndsvisning);Nimtech;Nimtech;konsulent;sok;
2026-09-21;T2;it_saas;Q1;Perplexity;Søk + avansert søk (gratis forhåndsvisning);Miles;Miles;konsulent;sok;
2026-09-21;T2;it_saas;Q1;Perplexity;Søk + avansert søk (gratis forhåndsvisning);Integral;Integral Consulting;konsulent;sok;
2026-09-21;T2;it_saas;Q1;Perplexity;Søk + avansert søk (gratis forhåndsvisning);556bd91be7c8;556bd91be7c8;hors_panel;sok;
2026-09-21;T2;it_saas;Q1;Perplexity;Søk + avansert søk (gratis forhåndsvisning);4301701f5b9f;4301701f5b9f;hors_panel;sok;
2026-09-21;T2;it_saas;Q1;Perplexity;Søk + avansert søk (gratis forhåndsvisning);ee7b2fb97da9;ee7b2fb97da9;hors_panel;sok;
2026-09-21;T2;it_saas;Q1;Perplexity;Søk + avansert søk (gratis forhåndsvisning);5e1be44c61aa;5e1be44c61aa;hors_panel;sok;
2026-09-21;T2;it_saas;Q1;Perplexity;Søk + avansert søk (gratis forhåndsvisning);8d2d5c8c55d6;8d2d5c8c55d6;hors_panel;sok;
2026-09-21;T2;it_saas;Q1;Gemini;Flash-Lite;Sopra Steria;Sopra Steria;konsulent;minne;
